x1, y1, x2, y2, d, a, t
34, 91, 63, 57, 44.629, -0.725, 6
44, 46, 47, 37, 10.139, -0.259, 6
56, 46, 54, 63, 16.645, 3.040, 6
48, 50, 40, 71, 22.099, 2.771, 6
57, 50, 67, 46, 10.967, -1.166, 6
60, 55, 59, 52, 3.353, 0.303, 6
51, 58, 63, 57, 12.463, -1.428, 6
67, 58, 87, 54, 20.957, -1.340, 6
42, 60, 59, 62, 17.117, -1.688, 6
52, 62, 51, 75, 13.254, 3.051, 6
92, 66, 57, 46, 40.659, 1.057, 6
44, 73, 72, 43, 40.912, -0.740, 6
44, 88, 65, 47, 46.600, -0.458, 6
56, 46, 45, 75, 30.999, 2.773, 6
50, 48, 67, 45, 17.133, -1.373, 6
47, 51, 33, 75, 27.335, 2.582, 6
59, 56, 56, 51, 5.989, 0.532, 6
50, 59, 51, 74, 15.905, -3.051, 6
66, 59, 56, 56, 10.188, 1.309, 6
92, 66, 57, 43, 41.536, 0.983, 6
47, 77, 32, 99, 26.306, 2.511, 6
53, 53, 48, 59, 7.779, 2.344, 6
93, 53, 135, 48, 42.653, -1.440, 6
70, 31, 66, 44, 13.601, 2.843, 7
62, 32, 57, 70, 39.165, 3.014, 7
34, 33, 42, 103, 70.456, -3.028, 7
79, 33, 60, 87, 57.245, 2.803, 7
66, 35, 66, 48, 13.000, 3.142, 7
47, 37, 47, 88, 51.000, 3.142, 7
34, 39, 64, 72, 45.214, -2.408, 7
61, 39, 93, 38, 32.606, -1.552, 7
47, 43, 59, 72, 31.400, -2.748, 7
58, 43, 81, 62, 29.833, -2.261, 7
72, 43, 57, 85, 44.598, 2.799, 7
67, 45, 64, 38, 7.616, 0.405, 7
55, 46, 61, 35, 12.530, -0.499, 7
57, 46, 49, 94, 49.419, 2.983, 7
112, 47, 39, 32, 74.525, 1.368, 7
104, 49, 66, 65, 41.231, 1.969, 7
56, 51, 87, 58, 31.780, -1.793, 7
59, 52, 79, 61, 22.504, -2.027, 7
52, 56, 31, 73, 27.019, 2.251, 7
49, 57, 57, 84, 29.253, -2.843, 7
48, 59, 59, 62, 11.402, -1.837, 7
45, 60, 48, 72, 12.637, -2.823, 7
32, 63, 96, 49, 65.471, -1.358, 7
43, 66, 39, 81, 15.966, 2.927, 7
40, 71, 39, 82, 11.045, 3.051, 7
45, 75, 51, 32, 43.417, -0.139, 7
41, 77, 76, 72, 35.672, -1.430, 7
55, 78, 69, 69, 16.680, -1.009, 7
31, 79, 62, 74, 31.735, -1.425, 7
42, 80, 71, 75, 29.428, -1.400, 7
46, 37, 34, 34, 13.194, 1.326, 7
103, 42, 67, 39, 36.324, 1.488, 7
57, 43, 79, 38, 22.023, -1.332, 7
40, 44, 68, 41, 27.412, -1.446, 7
55, 50, 76, 147, 99.571, -2.923, 7
50, 51, 45, 68, 17.472, 2.863, 7
115, 55, 44, 75, 73.902, 1.842, 7
