x1, y1, x2, y2, d, a, t
49, 31, 39, 63, 33.928, 2.857, 6
49, 31, 24, 8, 33.733, 0.837, 6
153, 37, 78, 21, 77.447, 1.359, 6
153, 37, 16, 113, 157.293, 2.075, 6
67, 66, 57, 14, 53.021, 0.191, 6
67, 66, 13, 64, 54.082, 1.533, 6
12, 92, 39, 116, 36.994, -2.299, 6
67, 22, 65, 31, 9.615, 2.990, 6
67, 42, 66, 36, 6.462, 0.071, 6
67, 42, 66, 28, 14.792, 0.065, 6
111, 63, 26, 37, 88.965, 1.276, 6
26, 30, 37, 25, 11.491, -1.115, 6
68, 43, 7, 72, 67.521, 2.012, 6
68, 43, 75, 46, 7.912, -1.863, 6
22, 66, 24, 75, 8.901, -2.900, 6
22, 66, 18, 11, 55.363, 0.075, 6
107, 29, 111, 28, 4.473, -1.210, 6
76, 2, 10, 77, 99.660, 2.414, 7
7, 8, 5, 114, 106.237, 3.125, 7
7, 8, 24, 47, 42.685, -2.737, 7
88, 11, 85, 170, 159.085, 3.119, 7
35, 15, 40, 31, 16.964, -2.815, 7
