x1, y1, x2, y2, d, a, t
114, 121, 106, 148, 27.623, 2.839, 72
108, 22, 93, 42, 24.905, 2.484, 72
15, 129, 28, 120, 16.738, -0.960, 73
27, 124, 34, 109, 16.635, -0.405, 73
18, 121, 23, 108, 14.347, -0.348, 73
34, 130, 44, 118, 16.082, -0.675, 73
39, 138, 49, 130, 12.867, -0.888, 73
33, 174, 43, 174, 9.840, -1.555, 73
99, 133, 103, 145, 12.885, -2.841, 73
53, 164, 53, 149, 15.364, -0.024, 73
103, 145, 118, 158, 19.788, -2.273, 74
67, 97, 82, 92, 15.877, -1.218, 75
37, 76, 56, 86, 22.247, -2.055, 75
29, 125, 25, 140, 16.092, 2.879, 75
80, 25, 94, 28, 14.804, -1.791, 76
31, 47, 20, 37, 15.247, 0.850, 76
68, 120, 50, 125, 18.355, 1.851, 76
42, 158, 51, 172, 16.498, -2.611, 76
42, 129, 54, 135, 13.634, -2.050, 76
14, 103, 21, 99, 7.700, -0.971, 77
35, 141, 39, 139, 5.183, -1.088, 77
30, 134, 37, 129, 8.186, -1.013, 77
44, 67, 48, 62, 6.570, -0.647, 77
34, 167, 39, 165, 5.300, -1.114, 77
44, 54, 50, 49, 7.320, -0.898, 77
28, 121, 34, 117, 8.177, -0.962, 77
58, 96, 60, 91, 4.797, -0.475, 77
58, 81, 57, 76, 5.072, 0.161, 77
17, 140, 22, 138, 6.110, -1.240, 77
68, 100, 73, 95, 6.760, -0.724, 77
51, 161, 55, 157, 6.391, -0.767, 77
27, 84, 32, 78, 8.000, -0.784, 77
12, 78, 17, 75, 5.932, -0.918, 77
61, 137, 61, 131, 6.075, 0.154, 77
47, 88, 52, 84, 6.894, -0.874, 77
52, 63, 55, 56, 7.876, -0.409, 77
46, 108, 51, 114, 7.828, -2.427, 77
99, 144, 95, 148, 5.854, 2.357, 77
94, 28, 89, 30, 5.704, 1.987, 77
124, 149, 127, 142, 7.253, -0.330, 77
37, 129, 47, 114, 18.622, -0.566, 78
83, 84, 65, 87, 18.227, 1.723, 78
72, 90, 79, 76, 15.606, -0.428, 78
46, 81, 58, 86, 13.931, -1.954, 79
17, 116, 24, 137, 21.687, -2.807, 79
57, 132, 36, 142, 23.657, 2.047, 79
62, 154, 66, 134, 19.949, -0.235, 79
36, 142, 41, 126, 16.537, -0.276, 80
11, 83, 30, 76, 20.047, -1.222, 80
85, 125, 90, 137, 12.755, -2.744, 80
143, 97, 142, 76, 21.089, 0.023, 80
148, 52, 141, 64, 13.958, 2.606, 80
161, 100, 153, 83, 17.809, 0.437, 80
34, 58, 50, 53, 16.580, -1.242, 81
22, 145, 39, 143, 16.185, -1.493, 81
50, 70, 54, 57, 13.853, -0.326, 81
51, 70, 46, 61, 10.302, 0.436, 81
56, 65, 67, 61, 11.969, -1.212, 81
30, 87, 23, 74, 14.865, 0.521, 81
56, 102, 69, 98, 13.130, -1.244, 81
56, 104, 70, 98, 15.320, -1.143, 81
29, 127, 47, 126, 17.739, -1.494, 81
36, 36, 46, 28, 13.199, -0.843, 81
55, 94, 70, 87, 16.147, -1.118, 81
90, 137, 102, 126, 16.132, -0.847, 81
142, 76, 153, 65, 14.718, -0.792, 81
