x1, y1, x2, y2, d, a, t
38, 93, 20, 97, 18.276, 1.812, 79
17, 128, 40, 135, 23.967, -1.852, 80
72, 118, 51, 108, 23.353, 1.167, 80
27, 127, 48, 130, 21.859, -1.695, 80
29, 182, 30, 162, 20.415, -0.021, 80
37, 144, 29, 122, 23.157, 0.375, 80
25, 93, 13, 72, 24.662, 0.533, 80
26, 19, 44, 11, 18.881, -1.156, 81
43, 37, 59, 27, 18.726, -1.064, 81
26, 51, 43, 46, 17.584, -1.329, 81
20, 92, 34, 92, 13.517, -1.594, 81
36, 103, 50, 112, 16.456, -2.170, 81
31, 30, 48, 21, 18.742, -1.080, 81
16, 76, 28, 79, 12.499, -1.860, 81
35, 106, 53, 108, 17.591, -1.666, 81
45, 113, 63, 108, 18.537, -1.328, 81
43, 114, 45, 97, 17.439, -0.139, 81
82, 146, 95, 147, 12.451, -1.696, 81
40, 167, 40, 180, 12.484, 3.109, 81
27, 28, 43, 19, 17.788, -1.070, 81
48, 130, 66, 124, 18.806, -1.235, 81
80, 132, 92, 122, 15.202, -0.898, 81
40, 135, 58, 131, 18.282, -1.377, 81
28, 20, 45, 12, 18.340, -1.132, 81
13, 72, 28, 69, 15.838, -1.384, 81
17, 31, 30, 28, 13.155, -1.272, 81
17, 31, 30, 28, 13.155, -1.272, 81
32, 87, 42, 81, 12.140, -1.051, 81
14, 154, 25, 153, 10.875, -1.448, 81
63, 27, 44, 23, 19.544, 1.388, 82
59, 27, 74, 33, 15.976, -1.919, 82
44, 43, 32, 27, 20.049, 0.658, 82
6, 57, 13, 44, 15.135, -0.534, 82
69, 99, 66, 77, 22.050, 0.142, 82
38, 184, 47, 173, 14.451, -0.657, 82
7, 35, 18, 46, 15.753, -2.340, 82
75, 39, 64, 31, 13.535, 0.970, 82
43, 46, 34, 30, 19.498, 0.526, 82
51, 103, 54, 84, 19.813, -0.150, 82
10, 153, 14, 138, 15.686, -0.285, 82
40, 165, 57, 159, 17.842, -1.273, 82
28, 69, 11, 68, 17.273, 1.536, 82
39, 107, 40, 125, 18.071, -3.095, 82
43, 167, 26, 179, 20.446, 2.186, 83
36, 100, 52, 89, 18.988, -0.959, 84
67, 85, 82, 76, 18.254, -1.009, 84
67, 85, 82, 76, 18.254, -1.009, 84
23, 20, 17, 10, 12.109, 0.570, 84
101, 48, 106, 42, 7.484, -0.817, 85
11, 120, 20, 127, 11.768, -2.266, 85
15, 180, 23, 178, 8.475, -1.393, 85
17, 27, 7, 33, 11.519, 2.078, 86
60, 73, 65, 62, 12.130, -0.461, 86
15, 6, 3, 7, 11.473, 1.691, 86
16, 15, 27, 27, 16.422, -2.412, 87
38, 36, 22, 23, 20.212, 0.856, 87
9, 6, 29, 6, 20.219, -1.573, 87
30, 145, 7, 154, 25.413, 1.924, 88
12, 153, 6, 172, 19.875, 2.813, 88
12, 153, 38, 155, 25.845, -1.628, 88
77, 56, 81, 79, 23.023, -2.983, 89
72, 131, 93, 125, 22.718, -1.287, 89
67, 180, 77, 164, 18.918, -0.562, 89
75, 121, 53, 118, 21.917, 1.473, 89
