x1, y1, x2, y2, d, a, t, dc
100, 67, 103, 75, 9.176, -2.785, 6, 0.349
99, 71, 34, 43, 70.774, 1.164, 6, 0.918
109, 79, 114, 34, 45.277, -0.111, 6, 0.110
45, 87, 46, 93, 6.083, -2.976, 6, 0.164
45, 89, 76, 132, 53.009, -2.517, 6, 0.585
47, 95, 53, 96, 6.083, -1.736, 6, 0.986
61, 109, 71, 106, 10.440, -1.279, 6, 0.958
66, 116, 64, 97, 18.620, 0.092, 6, 0.092
70, 117, 73, 123, 7.335, -2.690, 6, 0.436
73, 123, 77, 129, 7.211, -2.554, 6, 0.555
80, 128, 84, 134, 7.547, -2.583, 6, 0.530
75, 138, 79, 144, 7.211, -2.554, 6, 0.555
74, 142, 47, 96, 53.339, 0.531, 6, 0.506
121, 38, 106, 68, 33.277, 2.694, 6, 0.433
132, 39, 108, 55, 28.624, 2.147, 6, 0.838
116, 42, 117, 44, 2.683, -2.678, 6, 0.447
46, 45, 45, 49, 3.795, 2.820, 6, 0.316
108, 46, 111, 48, 3.231, -1.951, 6, 0.928
121, 46, 31, 41, 90.386, 1.507, 6, 0.998
103, 48, 130, 33, 30.712, -1.061, 6, 0.873
129, 48, 95, 66, 39.002, 2.050, 6, 0.887
112, 49, 110, 50, 2.264, 2.129, 6, 0.848
74, 54, 89, 70, 22.263, -2.410, 6, 0.668
82, 54, 81, 60, 6.119, 2.944, 6, 0.196
110, 54, 112, 60, 6.462, -2.761, 6, 0.371
116, 54, 113, 54, 2.736, 1.837, 6, 0.965
129, 54, 76, 129, 92.488, 2.528, 6, 0.576
133, 54, 135, 56, 2.691, -2.409, 6, 0.669
61, 55, 58, 61, 6.462, 2.761, 6, 0.371
96, 55, 98, 65, 10.758, -2.907, 6, 0.232
114, 57, 114, 63, 5.400, 3.142, 6, 0.000
60, 58, 60, 74, 15.511, -3.111, 6, 0.031
70, 60, 38, 48, 34.926, 1.220, 6, 0.939
124, 60, 129, 58, 4.960, -1.316, 6, 0.968
66, 62, 84, 62, 18.673, -1.561, 6, 1.000
93, 64, 125, 55, 32.894, -1.268, 6, 0.955
106, 64, 126, 44, 28.014, -0.755, 6, 0.685
79, 73, 124, 55, 48.632, -1.194, 6, 0.930
87, 75, 99, 54, 23.964, -0.513, 6, 0.491
87, 79, 88, 83, 3.821, -3.037, 6, 0.105
44, 87, 45, 93, 6.119, -2.944, 6, 0.196
69, 117, 75, 132, 15.600, -2.747, 6, 0.385
80, 128, 70, 105, 24.739, 0.399, 6, 0.388
125, 46, 96, 59, 32.004, 1.986, 6, 0.915
133, 47, 135, 50, 3.220, -2.678, 6, 0.447
109, 53, 112, 60, 7.755, -2.761, 6, 0.371
60, 54, 81, 62, 22.047, -1.917, 6, 0.941
95, 54, 95, 57, 2.304, -3.142, 6, 0.000
77, 57, 76, 66, 8.455, 3.028, 6, 0.114
80, 59, 49, 56, 31.551, 1.487, 6, 0.996
70, 60, 77, 69, 10.680, -2.494, 6, 0.603
66, 61, 66, 69, 7.684, 3.110, 6, 0.031
90, 61, 89, 67, 5.937, 2.897, 6, 0.243
102, 64, 100, 72, 7.343, 2.944, 6, 0.196
93, 66, 65, 69, 28.084, 1.674, 6, 0.995
99, 67, 107, 42, 26.792, -0.289, 6, 0.285
87, 70, 86, 76, 5.658, 2.884, 6, 0.254
46, 105, 47, 110, 5.937, -2.897, 6, 0.243
